SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:8:47

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-2.186	16.349	32.857	18.703	84.633	21.521	11.813	-15.398	
-2.190	16.349	32.856	18.724	84.633	21.635	11.821	-15.398	
-2.195	16.349	32.855	18.749	84.633	21.746	11.828	-15.398	
-2.199	16.349	32.854	18.780	84.634	21.853	11.836	-15.398	
-2.203	16.349	32.853	18.814	84.635	21.957	11.844	-15.398	
-2.207	16.349	32.851	18.851	84.635	22.059	11.853	-15.398	
-2.210	16.349	32.850	18.889	84.634	22.158	11.861	-15.398	
-2.214	16.349	32.848	18.925	84.632	22.255	11.870	-15.398	
-2.218	16.349	32.846	18.959	84.629	22.350	11.879	-15.398	
-2.221	16.349	32.844	18.988	84.624	22.445	11.888	-15.398	
-2.225	16.349	32.842	19.013	84.617	22.538	11.897	-15.398	
-2.228	16.349	32.840	19.033	84.608	22.632	11.907	-15.398	
-2.232	16.349	32.838	19.048	84.596	22.725	11.916	-15.398	
-2.235	16.349	32.836	19.060	84.582	22.820	11.926	-15.398	
-2.238	16.349	32.834	19.069	84.565	22.915	11.936	-15.398	
-2.241	16.349	32.833	19.076	84.545	23.012	11.947	-15.398	
-2.245	16.349	32.832	19.083	84.522	23.111	11.957	-15.397	
-2.248	16.349	32.831	19.089	84.497	23.213	11.967	-15.396	
-2.250	16.349	32.831	19.096	84.468	23.316	11.977	-15.396	
-2.253	16.349	32.832	19.103	84.438	23.423	11.988	-15.395	
-2.256	16.349	32.834	19.110	84.405	23.532	11.998	-15.394	
-2.259	16.348	32.836	19.116	84.370	23.645	12.009	-15.394	
-2.261	16.348	32.839	19.120	84.333	23.760	12.019	-15.395	
-2.264	16.348	32.844	19.123	84.294	23.879	12.029	-15.396	
-2.267	16.348	32.850	19.122	84.254	24.000	12.039	-15.398	
-2.269	16.348	32.856	19.118	84.213	24.125	12.049	-15.402	
-2.271	16.348	32.865	19.112	84.171	24.251	12.058	-15.406	
-2.274	16.348	32.875	19.105	84.128	24.380	12.068	-15.410	
-2.276	16.348	32.886	19.096	84.085	24.510	12.077	-15.414	
-2.278	16.348	32.898	19.087	84.041	24.641	12.086	-15.416	
-2.280	16.348	32.912	19.079	83.998	24.772	12.094	-15.414	
-2.282	16.348	32.927	19.072	83.956	24.902	12.102	-15.407	
-2.284	16.348	32.943	19.065	83.914	25.032	12.110	-15.394	
-2.286	16.348	32.961	19.060	83.873	25.159	12.118	-15.373	
-2.288	16.348	32.979	19.054	83.834	25.283	12.125	-15.344	
-2.290	16.348	32.998	19.049	83.796	25.404	12.132	-15.308	
-2.292	16.348	33.017	19.043	83.759	25.520	12.138	-15.268	
-2.294	16.348	33.036	19.036	83.725	25.631	12.144	-15.227	
-2.296	16.348	33.056	19.029	83.692	25.737	12.150	-15.191	
-2.297	16.348	33.075	19.020	83.662	25.836	12.155	-15.163	
-2.299	16.348	33.093	19.012	83.634	25.928	12.160	-15.149	
-2.301	16.348	33.111	19.004	83.608	26.014	12.165	-15.149	
-2.303	16.348	33.128	18.997	83.584	26.091	12.169	-15.164	
-2.304	16.348	33.144	18.995	83.563	26.162	12.174	-15.191	
-2.306	16.348	33.158	18.997	83.543	26.225	12.178	-15.228	
-2.308	16.348	33.172	19.006	83.526	26.280	12.182	-15.268	
-2.309	16.348	33.184	19.024	83.510	26.330	12.185	-15.308	
-2.311	16.348	33.194	19.052	83.495	26.372	12.189	-15.344	
-2.313	16.348	33.203	19.091	83.482	26.410	12.193	-15.372	
-2.315	16.348	33.211	19.140	83.470	26.443	12.197	-15.393	
-2.316	16.348	33.217	19.199	83.457	26.473	12.200	-15.405	
-2.318	16.348	33.222	19.265	83.445	26.500	12.204	-15.411	
-2.320	16.348	33.225	19.337	83.432	26.527	12.209	-15.413	
-2.322	16.349	33.227	19.413	83.419	26.554	12.213	-15.411	
-2.324	16.349	33.228	19.491	83.405	26.583	12.218	-15.408	
-2.325	16.349	33.227	19.569	83.389	26.614	12.223	-15.405	
-2.327	16.349	33.226	19.645	83.373	26.650	12.228	-15.403	
-2.329	16.349	33.223	19.719	83.355	26.691	12.234	-15.403	
-2.331	16.349	33.219	19.790	83.336	26.737	12.240	-15.404	
