SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.540	16.050	33.429	17.582	82.608	27.926	11.468	-16.613	
-1.543	16.050	33.417	17.643	82.557	28.107	11.490	-16.605	
-1.547	16.050	33.405	17.708	82.508	28.285	11.510	-16.597	
-1.552	16.050	33.393	17.776	82.461	28.462	11.530	-16.589	
-1.557	16.050	33.381	17.846	82.417	28.638	11.549	-16.582	
-1.562	16.050	33.369	17.919	82.374	28.813	11.567	-16.575	
-1.567	16.050	33.357	17.994	82.332	28.988	11.584	-16.570	
-1.573	16.050	33.345	18.070	82.292	29.163	11.600	-16.565	
-1.580	16.050	33.333	18.147	82.252	29.338	11.615	-16.561	
-1.586	16.050	33.321	18.224	82.212	29.513	11.630	-16.558	
-1.594	16.050	33.309	18.301	82.173	29.689	11.644	-16.555	
-1.601	16.050	33.298	18.376	82.133	29.865	11.658	-16.554	
-1.609	16.050	33.286	18.451	82.092	30.042	11.672	-16.553	
-1.617	16.050	33.275	18.524	82.051	30.220	11.686	-16.552	
-1.626	16.050	33.264	18.595	82.009	30.399	11.700	-16.552	
-1.634	16.050	33.254	18.664	81.966	30.578	11.715	-16.552	
-1.643	16.050	33.244	18.731	81.922	30.758	11.730	-16.552	
-1.653	16.050	33.235	18.796	81.878	30.938	11.746	-16.553	
-1.662	16.050	33.227	18.858	81.834	31.118	11.762	-16.554	
-1.672	16.049	33.219	18.919	81.789	31.298	11.779	-16.554	
-1.681	16.049	33.212	18.977	81.745	31.478	11.796	-16.555	
-1.691	16.049	33.205	19.032	81.701	31.657	11.814	-16.555	
-1.701	16.049	33.199	19.085	81.658	31.835	11.832	-16.556	
-1.711	16.049	33.193	19.136	81.615	32.011	11.850	-16.556	
-1.721	16.049	33.188	19.183	81.573	32.185	11.868	-16.557	
-1.730	16.049	33.183	19.228	81.532	32.356	11.886	-16.557	
-1.740	16.049	33.178	19.269	81.492	32.524	11.903	-16.557	
-1.750	16.049	33.173	19.307	81.452	32.689	11.919	-16.557	
-1.759	16.049	33.168	19.342	81.412	32.850	11.935	-16.557	
-1.768	16.049	33.163	19.373	81.373	33.007	11.950	-16.557	
-1.777	16.048	33.158	19.401	81.334	33.160	11.963	-16.557	
-1.785	16.048	33.152	19.426	81.294	33.308	11.975	-16.557	
-1.794	16.048	33.145	19.448	81.255	33.452	11.986	-16.557	
-1.802	16.048	33.138	19.469	81.217	33.592	11.995	-16.557	
-1.809	16.048	33.130	19.489	81.178	33.728	12.003	-16.557	
-1.817	16.048	33.121	19.509	81.140	33.861	12.010	-16.556	
-1.824	16.048	33.112	19.530	81.102	33.989	12.015	-16.556	
-1.830	16.048	33.102	19.552	81.064	34.114	12.019	-16.556	
-1.837	16.048	33.091	19.575	81.028	34.234	12.022	-16.556	
-1.842	16.048	33.080	19.599	80.991	34.352	12.023	-16.556	
-1.848	16.048	33.068	19.625	80.956	34.465	12.024	-16.556	
-1.853	16.048	33.056	19.651	80.922	34.574	12.024	-16.556	
-1.858	16.048	33.043	19.677	80.888	34.680	12.023	-16.556	
-1.862	16.048	33.030	19.704	80.856	34.782	12.022	-16.556	
-1.866	16.048	33.017	19.729	80.825	34.880	12.020	-16.556	
-1.869	16.048	33.004	19.755	80.795	34.974	12.017	-16.556	
-1.872	16.048	32.990	19.780	80.767	35.066	12.014	-16.556	
-1.875	16.048	32.977	19.806	80.740	35.154	12.011	-16.556	
-1.878	16.048	32.963	19.833	80.714	35.240	12.008	-16.555	
-1.880	16.048	32.950	19.861	80.688	35.324	12.004	-16.555	
-1.882	16.048	32.936	19.891	80.663	35.406	12.001	-16.555	
-1.883	16.048	32.923	19.923	80.637	35.488	11.998	-16.555	
-1.885	16.048	32.910	19.959	80.612	35.570	11.995	-16.555	
